Name,Cuisine,Location,Service Method,Does Curbside Pick-Up?,Address,City,Zip Code,Region,Hours,Phone,Website,details
ALX by Alexander's Steakhouse,American,SoMa,Delivery & Takeout,No,680 Folsom St.,San Francisco,N/A,San Francisco,Noon-8 p.m. daily,415-495-1111,www.alexanderssteakhouse.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Amasia Hide’s Sushi,Japanese,Castro (S.F.),Takeout,No,149 Noe St.,San Francisco,N/A,San Francisco,5:30-10 p.m. Tuesday-Sunday,415-861-7000,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Amato Pizzeria,Pizza,San Jose,Delivery & Takeout,Yes,6081 Meridian Ave.,San Jose,N/A,South Bay,11 a.m.-10 p.m. daily,408-997-7727,www.amatopizzeria.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Amber India Restaurant,Indian,SoMa (S.F.),Delivery & Takeout,No,25 Yerba Buena Ln.,San Francisco,N/A,San Francisco,5-9 p.m. Monday-Sunday,415-7770500,www.amber-india.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ambrose Butchery,American,Fremont,Takeout,No,37683 Niles Blvd.,Fremont,N/A,East Bay,5-8 p.m. Tuesday-Sunday,510-509-2677,www.ambrosebutchery.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Amelie Wine Bar,French,Nob Hill (S.F.),Delivery & Takeout,Yes,1754 Polk St.,San Francisco,N/A,San Francisco,4-7 p.m. Monday-Saturday,415-292-6916,www.ameliewinebar.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Amici's,"Pizza, Italian",San Rafael,Delivery & Takeout,Yes,1242 4th St.,San Rafael,N/A,North Bay,11:30 a.m.-9 p.m. daily,415-455-9777,www.amicis.com/menu,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Amici's East Coast Pizzeria,"American, Italian, Pizza",Marina (S.F.),Delivery & Takeout,Yes,2200 Lombard St.,San Francisco,N/A,San Francisco,11:30 a.m.-10 p.m. Sunday-Thursday; 11:30 a.m.-11 p.m. Friday and Saturday,415-885-4500,www.amicis.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Amphawa,Thai,Richmond (S.F.),Delivery & Takeout,No,5020 Geary Blvd.,San Francisco,N/A,San Francisco,Noon-11 p.m. daily,415-221-2824,orders.imenu360.us/AmphawaThaiNoodleHouse/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Anaviv's Table,"American, Pizza, BBQ",Richmond,Takeout,No,600 Hoffman Blvd.,Richmond,N/A,East Bay,Noon-6 p.m. Tuesday-Sunday,415-376-1400,www.table.anaviv.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Andersen Bakery,"Japanese, Bakery",Japantown (S.F.),Takeout,No,"1737 Post St., Ste. 304",San Francisco,N/A,San Francisco,9 a.m.-6:30 p.m. Monday-Sunday,415-345-1046,usa.andersenbakery.com/store.html,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Andytown,American,Sunset (S.F.),Takeout,No,3655 Lawton St.,San Francisco,N/A,San Francisco,8 a.m.-3 p.m. daily,415-753-9775,www.andytownsf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Angeline's Louisiana Kitchen,Cajun/Creole,Berkeley,Takeout,No,2261 Shattuck Ave.,Berkeley,N/A,East Bay,"5:30-9 p.m. Monday, 11:30 a.m.-9 p.m. Tuesday-Thursday and Sunday, 11:30 a.m.-10 p.m. Friday and Saturday",510-548-6900,www.angelineskitchen.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Angkor Borei,Cambodian,Bernal Heights (S.F.),Takeout,No,3471 Mission St.,San Francisco,N/A,San Francisco,"11 a.m.-3 p.m., 5-9:30 p.m., Thursday-Tuesday",415-550-8417,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Annapurna,Indian,Berkeley,Delivery & Takeout,No,2416 Telegraph Ave.,Berkeley,N/A,East Bay,11 a.m.-6 p.m. daily,510-841-6187,www.annapurnaberkeley.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Annapurna,Indian,Old Oakland,Delivery & Takeout,No,948 Clay St.,Oakland,N/A,East Bay,11 a.m.-10:30 p.m. daily,510-250-9696,www.annapurnaoakland.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Apple Frittery,American,San Mateo,Delivery & Takeout,No,1901 South Norfolk St.,San Mateo,N/A,Peninsula,7 a.m.-2 p.m. Monday-Friday; 8 a.m.-2 p.m. Saturday and Sunday,650-525-9125,www.applefrittereatery.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Aria Korean Street Food,"Korean, Fried Chicken",Nob Hill (S.F.),Delivery & Takeout,No,932 Larkin St.,San Francisco,N/A,San Francisco,11:30 a.m.-10 p.m. daily,415-292-6914,www.ariasf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ariake,Japanese,Richmond (S.F.),Takeout,No,5041 Geary Blvd.,San Francisco,N/A,San Francisco,"11:30 a.m.-2:30 p.m., 5-10 p.m. daily",415-221-6210,www.sfariake.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Arigatou Japanese Food To Go,Japanese,San Rafael,Delivery & Takeout,No,2046 Fourth St.,San Rafael,N/A,North Bay,"Lunch and dinner Monday-Saturday, dinner Sunday",415-453-8990,www.arigatoujapanesefood.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Arinell Pizza,Pizza,Mission (S.F.) Dolores,Delivery & Takeout,No,509 Valencia St.,San Francisco,N/A,San Francisco,11:30 a.m.-9 p.m. daily,415-255-1303,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Arinell Pizza,Pizza,Berkeley,Delivery & Takeout,No,2119 Shattuck Ave. (between Addisson & Center),Berkeley,N/A,East Bay,11 a.m.-8 p.m. daily,510-841-4035,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Arizmendi Bakery,Bakery,Mission (S.F.),Takeout,No,1268 Valencia St.,San Francisco,N/A,San Francisco,9 a.m.-4 p.m. daily,415-826-9218,www.arizmendi.coop,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Armadillo Willy's Barbecue,"BBQ, American",Los Altos,Delivery & Takeout,Yes,1031 N. San Antonio Rd.,Los Altos,N/A,South Bay,11 a.m.-8 p.m. daily,650-941-2922,www.armadillowillys.com,10% off all takeout.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Armadillo Willy's Barbecue,"BBQ, American",Santa Clara,Delivery & Takeout,Yes,2624 Homestead Rd.,Santa Clara,N/A,South Bay,11 a.m.-8 p.m. daily,408-247-1100,www.armadillowillys.com,10% off all takeout.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Armadillo Willy's Barbecue,"BBQ, American",Sunnyvale,Delivery & Takeout,Yes,161 E. El Camino Real,Sunnyvale,N/A,South Bay,11 a.m.-8 p.m. daily,408-245-5300,www.armadillowillys.com,10% off all takeout.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Armadillo Willy's Barbecue,"BBQ, American",Dublin,Delivery & Takeout,Yes,4480 Tassajara Rd.,Dublin,N/A,East Bay,11 a.m.-8 p.m. daily,925-833-0400,www.armadillowillys.com,10% off all takeout.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Armadillo Willy's Barbecue,"BBQ, American",San Mateo,Delivery & Takeout,Yes,2260 Bridgepointe Pkwy,San Mateo,N/A,Peninsula,11 a.m.-8 p.m. daily,650-571-7427,www.armadillowillys.com,10% off all takeout.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Armadillo Willy's Barbecue,"BBQ, American",San Jose,Delivery & Takeout,Yes,2071 Camden Ave.,San Jose,N/A,South Bay,11 a.m.-8 p.m. daily,408-371-9033,www.armadillowillys.com,10% off all takeout.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Armadillo Willy's Barbecue,"BBQ, American",San Jose,Delivery & Takeout,Yes,878 Blossom Hill Rd.,San Jose,N/A,South Bay,11 a.m.-8 p.m. daily,408-224-7427,www.armadillowillys.com,10% off all takeout.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Artesano,Latin,Laurel Heights (S.F.),Delivery & Takeout,Yes,3415 California St.,San Francisco,N/A,San Francisco,Noon-6 p.m. Monday-Sunday,415-221-5500,www.artesanosf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Arthur Mac's Tap & Snack,Pizza,Oakland,Delivery & Takeout,No,4006 Martin Luther King Jr. Way,Oakland,N/A,East Bay,Lunch and dinner daily,510-823-2509,www.arthurmacs.com,"Canned beer, wine and cider to-go is 20% off.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Asa North,American,Los Altos,Takeout,Yes,242 State St.,Los Altos,N/A,South Bay,3:30-7:30 p.m. daily,650-935-2372,www.asalosaltos.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Asa South,American,Los Gatos,Takeout,Yes,57 Los Gatos-Saratoga Rd.,Los Gatos,N/A,Peninsula,3:30-7:30 p.m. daily,408-540-7004,www.asalosaltos.com,"Packaged organic meat, dairy and produce can be added.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Asena Restaurant,Mediterranean,Alameda,Delivery & Takeout,No,2508 Santa Clara Ave.,Alameda,N/A,East Bay,5-9 p.m. Monday-Saturday,510-521-4100,www.asenarestaurant.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Asian Box,Pan-Asian,Burlingame,Delivery & Takeout,No,1401 Burlingame Ave.,Burlingame,N/A,Peninsula,Lunch and dinner daily,650-315-2582,www.asianbox.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Asian Box,Pan-Asian,Campbell,Delivery & Takeout,No,1875 South Bascom Ave.,Campbell,N/A,South Bay,Lunch and dinner daily,408-628-4228,www.asianbox.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Asian Box,Pan-Asian,Mountain View,Delivery & Takeout,No,142 Castro St.,Mountain View,N/A,Peninsula,Lunch and dinner daily,650-963-9328,www.asianbox.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Asian Box,Pan-Asian,Palo Alto,Delivery & Takeout,No,855 El Camino Real,Palo Alto,N/A,Peninsula,Lunch and dinner daily,650-391-9305,www.asianbox.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Asian Box,Pan-Asian,Marina (S.F.),Delivery & Takeout,No,2031 Chestnut St.,San Francisco,N/A,San Francisco,Lunch and dinner daily,415-288-3688,www.asianbox.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Asian Box,Pan-Asian,San Jose,Delivery & Takeout,No,1078 E Brokaw Road,San Jose,N/A,South Bay,Lunch and dinner daily,408-441-0477,www.asianbox.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Aslam's Rasoi,Indian,Mission (S.F.),Delivery & Takeout,No,1037 Valencia St.,San Francisco,N/A,San Francisco,5-9 p.m. daily,415-695-0599,www.aslamsrasoi.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Atelier Crenn,French,Fillmore (S.F),Takeout,No,3127 Fillmore St.,San Francisco,N/A,San Francisco,3-5 p.m. Monday-Friday,415-440-0560,www.ateliercrenn.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Atlas Cafe,American,Mission (S.F.),Delivery & Takeout,No,3049 20th St.,San Francisco,N/A,San Francisco,8 a.m.-8 p.m. Monday-Friday; 8 a.m.-6 p.m. Saturday and Sunday,415-648-1047,www.atlascafe.net,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Augie's Montreal Deli,Deli,Berkeley,Delivery & Takeout,No,875 Potter St.,Berkeley,N/A,East Bay,Noon until sold out,510-984-0283,www.trycaviar.com/m/augies-montreal-deli-12154,Place an order by texting the word \'order\' to start the process.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Aunt Mary's Cafe,Southern,Oakland,Delivery & Takeout,Yes,4640 Telegraph Ave.,Oakland,N/A,East Bay,"9 a.m.-2 p.m., Monday-Sunday",510-601-9227,www.auntmaryscafe.com/,Call directly for 10% off your order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Avatar's Restaurant,"Californian, Indian",Sausalito,Delivery & Takeout,Yes,2656 Bridgeway,Sausalito,N/A,North Bay,11 a.m.-3 p.m.; 5-9:30 p.m. Monday-Saturday,415-332-8083,www.avatarsrestaurant.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Avery,Californian,Western Addition (S.F.),Delivery,Yes,1552 Fillmore St.,San Francisco,N/A,San Francisco,4-7 p.m. daily by pre-order only,415-817-1187,www.exploretock.com/avery,Pre-order online by 4 p.m. day-of.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Avery Restaurant,"Californian, Pan-Asian",Western Addition (S.F.),Delivery & Takeout,Yes,1552 Fillmore,San Francisco,N/A,San Francisco,4-7 p.m. daily,415-817-1187,www.averysf.com/,Some assembly required.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Azalina's,Malaysian,Mid-Market (S.F.),Delivery & Takeout,No,1355 Market St.,San Francisco,N/A,San Francisco,11 a.m.-3 p.m. Monday-Saturday,415-660-2020,www.azalinas.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Aziza,Moroccan,Richmond (S.F.),Delivery & Takeout,No,5800 Geary Blvd.,San Francisco,N/A,San Francisco,5-10 p.m. Wednesday-Sunday,415-682-4196,www.azizasf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
B. on the Go,"Sandwiches, Bakery",Lower Pacific Heights (S.F.),Takeout,No,2794 California St.,San Francisco,N/A,San Francisco,8 a.m.-4 p.m. Tuesday-Sunday,415-589-7112,www.b-onthego.com,B. Patisserie pastries and bread also available.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bacco,Italian,Noe Valley (S.F.),Takeout,No,737 Diamond St.,San Francisco,N/A,San Francisco,5:30-9:30 p.m. Tuesday-Thursday; 5:30-10 p.m. Friday and Saturday; 5-9 p.m. Sunday,415-282-4969,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Back A Yard Caribbean American Grill,Caribbean,Menlo Park,Delivery & Takeout,Yes,1189 Willow Rd.,Menlo Park,N/A,Peninsula,11 a.m.-7 p.m. Monday-Saturday,650-323-4244,www.backayard.net/restaurantmenu/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bagel Street Café,Bakery,Alamo,Delivery & Takeout,No,124 Alamo Plaza,Alamo,N/A,East Bay,6 a.m.-2 p.m Monday-Thursday; 6 a.m.-2 p.m. Saturday,925-552-0155,www.bagelstreetcafe.net,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Baker & Commons,American,Berkeley,Takeout,No,2900 College Ave.,Berkeley,N/A,East Bay,9 a.m.-4 p.m. daily,510-843-1300,www.bakerandcommons.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Baklava Cafe,Mediterranean,Mountain View,Delivery & Takeout,No,341 Castro St.,Mountain View,N/A,Peninsula,11 a.m.-10:30 p.m. Monday-Saturday; noon-9:30 p.m. Sunday,650-969-3835,www.cafebaklavamv.us/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Balompié Cafe,Salvadoran,Mission (S.F.),Delivery & Takeout,No,3349 18th St.,San Francisco,N/A,San Francisco,9 a.m.-6 p.m. Tuesday-Sunday,415-648-9199,www.balompie-cafe.business.site/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Balompié Cafe #3,Salvadoran,Bernal Heights (S.F.),Delivery & Takeout,No,3801 Mission St.,San Francisco,N/A,San Francisco,9 a.m.-8 p.m. Wednesday-Monday,510-484-8747,www.balompie3.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bamboo Hut Chinese Bistro,Chinese,Mill Valley,Delivery & Takeout,No,252 Almonte Blvd.,Mill Valley,N/A,North Bay,11 a.m.-9 p.m. Monday-Saturday; noon-9 p.m. Sunday,415-388-8631,www.bamboohutchinesebistro.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bandit,American,Tenderloin (S.F.),Delivery & Takeout,No,683 Geary St.,San Francisco,N/A,San Francisco,"8 a.m.-1:30 p.m., 5 p.m.-9:30 p.m. daily",415-658-7780,www.banditsf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bangkok Bay,Thai,Redwood City,Delivery & Takeout,Yes,825 El Camino Real,Redwood City,N/A,Peninsula,11 a.m.-9 p.m. daily,650-365-5369,www.bangkokbay.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bar Bocce,"Italian, Pizza",Sausalito,Takeout,No,1250 Bridgeway,Sausalito,N/A,North Bay,Noon-6 p.m. daily,415-331-0555,www.barbocce.com/,Call or email matt@barbocce.com to order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bare Bowls,Vegan,Palo Alto,Delivery & Takeout,No,530 Emerson St.,Palo Alto,N/A,Peninsula,8 a.m.-4 p.m. daily,650-272-6885,www.barebowls.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Basil Thai,Thai,SoMa (S.F),Delivery & Takeout,No,1175 Folsom St.,San Francisco,N/A,San Francisco,11:30 a.m.-2 p.m.; 5:30-8:30 p.m. daily,415-552-8999,www.basilthai.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bay Laurel Culinary,Californian,Petaluma,Delivery,Yes,1370 Industrial Ave.,Petaluma,N/A,North Bay,3-6 p.m. Wednesday-Saturday,707-981-8100,www.baylaurelculinary.com/seasonal-menus/,Call or email at info@baylaurelculinary.com for more information.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bayside Cafe,American,Sausalito,Takeout,No,1 Gate 6 Rd.,Sausalito,N/A,North Bay,8:30 a.m.-2 p.m. daily,415-331-2313,www.baysidecafe-sausalito.com,Pick-up window.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bean Bag Cafe,American,NoPa (S.F.),Takeout,No,601 Divisidero St.,San Francisco,N/A,San Francisco,7 a.m.-10 p.m. daily,415-563-3634,www.beanbag.cafe/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
